代碼,學系,國,英,數甲,數乙,物,化,生,歷,地,公
00111,法律學系司法組,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.25
00112,法律學系法學組,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.25
00113,法律學系財經法學組,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.25
00114,社會工作學系,x1.25,x1.25,--,x1.00,--,--,--,x1.00,--,x1.00
00115,社會學系,x1.00,x1.00,--,x1.00,--,--,--,x1.00,--,x1.00
00116,政治學系公共行政組,x1.25,x1.25,--,x1.00,--,--,--,x1.00,x1.00,--
00117,政治學系政治理論組,x1.25,x1.25,--,x1.00,--,--,--,x1.00,x1.00,--
00118,政治學系國際關係組,x1.25,x1.25,--,x1.00,--,--,--,x1.00,x1.00,--
00119,經濟學系,x1.00,x1.50,--,x2.00,--,--,--,--,--,--
00120,工商管理學系企業管理組,x1.00,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
00121,國際企業學系,x1.00,x2.00,--,x2.00,--,--,--,x1.00,x1.00,--
00122,會計學系,x1.25,x2.00,--,x1.25,--,--,--,x1.00,x1.00,--
00123,土木工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00124,工商管理學系科技管理組,x1.00,x2.00,x2.00,--,x1.00,x1.00,--,--,--,--
00125,化學工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00126,工程科學及海洋工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00127,資訊工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00128,資訊管理學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00129,生物環境系統工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00130,生物機電工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00131,電機工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00132,機械工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00133,材料科學與工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00134,大氣科學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00135,化學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00136,地理環境資源學系A組,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00137,地質科學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00138,物理學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00139,數學系,--,x1.00,x1.50,--,x1.00,x1.00,--,--,--,--
00140,心理學系,x1.00,x1.00,x1.00,--,--,x1.00,x1.00,--,--,--
00141,生命科學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00142,森林環境暨資源學系,--,x1.00,x1.00,--,x1.50,x1.50,x2.00,--,--,--
00143,醫學工程學系,x1.00,x1.00,x1.00,--,x1.00,x1.00,--,--,--,--
00146,植物病理與微生物學系,x1.00,x1.00,x1.00,--,--,x1.00,x1.00,--,--,--
00147,園藝暨景觀學系,x1.00,x1.00,--,--,x1.00,x1.50,x1.50,--,--,--
00148,農業化學系,--,x1.00,x1.00,--,x1.00,x1.50,x1.50,--,--,--
00149,生化科技學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00150,農業經濟學系,x1.50,x2.00,x2.00,--,--,--,--,--,--,--
00151,農藝學系,x1.00,x1.00,x1.00,--,--,x1.25,x1.25,--,--,--
00152,獸醫學系,x1.00,x1.00,x1.00,--,--,x1.00,x1.00,--,--,--
00153,牙醫學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00154,物理治療學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00155,職能治療學系,x1.25,x1.50,x1.00,--,--,--,x1.00,--,--,--
00156,醫學檢驗暨生物技術學系,x1.00,x1.00,x1.00,--,--,x1.00,x1.00,--,--,--
00157,醫學系(公費),--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00158,醫學系(自費),--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00159,藥學系,--,x1.00,x1.00,--,x1.00,x1.50,x1.00,--,--,--
00160,護理學系,x1.00,x1.00,x1.00,--,--,x1.00,x1.00,--,--,--
00161,昆蟲學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00162,動物科學技術學系,--,x1.00,x1.00,--,x1.00,x1.00,x1.00,--,--,--
00163,生物產業傳播暨發展學系,x1.50,x1.50,--,x1.50,--,--,--,x1.00,x1.00,--
00165,地理環境資源學系B組,x1.00,x1.00,--,x1.00,--,--,--,x1.00,x1.00,--
01101,計量財務金融學系甲組,x1.00,x1.50,x1.50,--,--,--,--,--,--,--
01102,外國語文學系,x1.00,x2.00,--,x1.00,--,--,--,x1.00,x1.00,--
01103,中國文學系甲組(一般組),x1.50,x1.25,--,x1.00,--,--,--,x1.00,x1.00,--
