Code,name,num,s_Chinese,s_English,s_Math,s_Society,s_Science,m_Chinese,m_English,m_Math,m_Society,m_Science
151182,臺灣語文與傳播學系,21,均,後,--,--,--,3,4,--,--,--
151192,華語文學系,20,均,--,--,--,--,3,4,--,--,--
151202,文化觀光產業學系,24,後,--,--,--,--,3,4,--,3,--
151212,文化創意與數位行銷學系,25,後,--,--,--,--,8,5,--,3,--
152012,醫學系,22,--,頂,頂,前,頂,--,3,3,8,3
152022,護理學系,49,均,均,--,--,均,--,5,--,--,3
152032,聽力暨語言治療學系聽力組,11,均,均,--,--,均,--,--,--,--,--
152042,聽力暨語言治療學系聽力組(青年儲蓄帳戶組),1,均,均,--,--,均,--,--,--,--,--
152052,聽力暨語言治療學系語言組,17,均,均,--,--,均,4,3,--,--,3
153012,應用英語學系,27,--,均,--,--,--,--,3,--,--,--
153022,運動與休閒學系,15,--,後,--,--,--,3,4,--,--,--
153032,企業管理學系,28,均,--,--,--,--,3,--,--,--,--
153042,電子工程學系,30,--,--,後,--,後,3,--,--,--,3
153052,食品科學系,18,--,後,--,--,--,--,--,4,--,3
153062,土木與工程管理學系,14,--,--,後,--,--,4,--,--,--,3
153072,觀光管理學系,19,均,--,--,--,--,4,--,--,3,--
153082,資訊工程學系,23,均,--,--,--,後,4,--,--,--,3
153102,建築學系,20,均,--,--,--,--,--,--,--,--,--
153112,國際暨大陸事務學系,20,後,--,--,後,--,4,--,--,3,--
153122,華語文學系,19,均,--,--,--,--,4,--,--,3,--
153132,海洋與邊境管理學系,19,均,--,--,--,--,3,3,--,3,--
153142,工業工程與管理學系,21,後,--,--,--,--,3,--,--,--,--
153152,護理學系,18,--,後,--,--,後,--,4,--,--,3
153162,長期照護學系,20,後,--,--,--,--,3,--,--,--,--
153172,社會工作學系,20,--,--,--,均,--,--,--,--,3,--
153182,都市計畫與景觀學系,20,後,--,--,--,--,5,--,3,4,--
154012,基督教博雅學系,9,底,--,--,--,--,3,--,--,--,--
